City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,18.91,93,20,3.6,US,1712488343
1,ventspils,57.3894,21.5606,14.96,77,0,7.72,LV,1712488343
2,grytviken,-54.2811,-36.5092,4.57,98,100,5.84,GS,1712488343
3,albany,42.6001,-73.9662,3.06,80,76,0.89,US,1712488343
4,sechura,-5.5569,-80.8222,22.26,78,100,3.63,PE,1712488343
5,abadeh,31.1608,52.6506,20.05,15,85,9.09,IR,1712488343
6,conceicao do araguaia,-8.2578,-49.2647,24.77,92,92,1.26,BR,1712488344
7,codrington,-38.2667,141.9667,12.31,86,10,3.38,AU,1712488344
8,port blair,11.6667,92.75,31.02,66,40,2.57,IN,1712488344
9,sao joao da barra,-21.6403,-41.0511,24.05,84,0,2.61,BR,1712488344
10,pangody,65.85,74.4859,-4.5,81,100,11.29,RU,1712488345
11,wailua homesteads,22.0669,-159.378,21.44,81,100,9.77,US,1712488345
12,flying fish cove,-10.4217,105.6791,26.82,89,100,3.6,CX,1712488345
13,atafu village,-8.5421,-172.5159,29.52,72,6,2.56,TK,1712488345
14,ulanhot,46.0833,122.0833,1.28,26,0,9.19,CN,1712488345
15,sao vicente,-23.9631,-46.3919,25.1,88,100,3.13,BR,1712488288
16,lata,40.1629,-8.3327,19.49,56,14,2.0,PT,1712488345
17,waitangi,-43.9535,-176.5597,11.57,83,89,1.34,NZ,1712488345
18,stanley,54.868,-1.6985,13.77,68,40,13.38,GB,1712488283
19,kapit,2.0167,112.9333,24.57,97,97,0.62,MY,1712488346
20,tabou,4.423,-7.3528,30.64,67,68,2.93,CI,1712488346
21,isafjordur,66.0755,-23.124,-1.98,74,75,12.35,IS,1712488346
22,ribeira grande,38.5167,-28.7,16.54,94,75,9.77,PT,1712488346
23,darende,38.5458,37.5058,12.74,62,98,3.88,TR,1712488157
24,la jolla,32.8473,-117.2742,10.56,82,0,0.45,US,1712488215
25,puerto san jose,13.9256,-90.8244,26.39,76,63,3.57,GT,1712488346
26,porto murtinho,-21.6989,-57.8825,28.01,54,65,2.54,BR,1712488278
27,port-aux-francais,-49.35,70.2167,5.28,72,100,9.8,TF,1712488347
28,aasiaat,68.7098,-52.8699,-7.56,85,100,0.89,GL,1712488347
29,puerto gaitan,4.3133,-72.0816,24.18,87,100,2.0,CO,1712488347
30,punta arenas,-53.15,-70.9167,4.06,70,40,8.75,CL,1712488218
31,blackmans bay,-43.0167,147.3167,14.07,93,100,0.45,AU,1712488347
32,puerto ayora,-0.7393,-90.3518,23.64,100,26,0.45,EC,1712488347
33,tiksi,71.6872,128.8694,-12.1,75,99,6.02,RU,1712488348
34,olonkinbyen,70.9221,-8.7187,-5.07,63,100,7.75,SJ,1712488348
35,edinburgh of the seven seas,-37.0676,-12.3116,18.8,96,98,10.11,SH,1712488348
36,port elizabeth,-33.918,25.5701,20.05,85,100,3.13,ZA,1712488348
37,illizi,26.4833,8.4667,34.24,9,0,9.32,DZ,1712488348
38,hakui,36.8833,136.7833,16.25,79,43,2.25,JP,1712488348
39,port saint john's,-31.6229,29.5448,19.75,88,100,6.38,ZA,1712488348
40,ushuaia,-54.8,-68.3,5.81,56,40,5.14,AR,1712488085
41,hadibu,12.65,54.0333,29.86,62,7,3.75,YE,1712488349
42,bethel,41.3712,-73.414,4.53,76,0,2.57,US,1712488349
43,hammerfest,70.6634,23.6821,-1.75,59,40,5.66,NO,1712488349
44,guerrero negro,27.9769,-114.0611,14.6,54,0,6.05,MX,1712488061
45,san antonio de pale,-1.4014,5.6325,28.9,75,90,2.75,GQ,1712488349
46,puerto deseado,-47.7503,-65.8938,8.0,74,12,5.05,AR,1712488349
47,masterton,-40.9597,175.6575,9.5,97,0,1.9,NZ,1712488349
48,klyuchi,52.2667,79.1667,5.77,73,100,6.18,RU,1712488350
49,iskateley,67.6803,53.1512,-3.63,88,100,5.74,RU,1712488350
50,kloulklubed,7.0419,134.2556,28.28,75,96,7.8,PW,1712488350
51,utrik,11.2278,169.8474,26.97,81,80,9.44,MH,1712488350
52,mount pearl,47.5166,-52.7813,1.85,89,81,4.02,CA,1712488281
53,belmonte,-15.8631,-38.8828,26.11,68,7,4.49,BR,1712488350
54,kalaleh,37.3807,55.4916,20.69,52,98,2.76,IR,1712488350
55,rongelap,11.1635,166.8941,27.22,80,87,9.05,MH,1712488351
56,puerto natales,-51.7236,-72.4875,6.25,56,40,7.2,CL,1712488241
57,anadyr,64.75,177.4833,-19.72,76,0,5.0,RU,1712488351
58,sitka,57.0531,-135.33,3.94,70,100,6.69,US,1712488351
59,san patricio,28.017,-97.5169,23.24,97,100,2.95,US,1712488351
60,bahia de kino,28.8333,-111.9333,15.6,57,0,7.08,MX,1712488351
61,port mathurin,-19.6833,63.4167,27.33,78,9,5.26,MU,1712488352
62,porto da folha,-9.9172,-37.2783,27.43,75,59,2.28,BR,1712488352
63,gadzhiyevo,69.2551,33.3362,-3.59,83,98,1.44,RU,1712488352
64,fort st. john,56.2499,-120.8529,0.93,76,17,3.5,CA,1712488352
65,novyy urgal,51.0736,132.5642,-5.04,60,84,2.22,RU,1712488352
66,geraldton,-28.7667,114.6,22.23,83,75,2.57,AU,1712488352
67,paramonga,-10.6667,-77.8333,21.53,92,97,2.59,PE,1712488352
68,iqaluit,63.7506,-68.5145,-16.44,92,100,3.3,CA,1712488353
69,adamstown,-25.066,-130.1015,22.63,75,37,3.6,PN,1712488353
70,sinabang,2.4803,96.3801,29.01,77,98,2.39,ID,1712488353
